Mkt-RF,SMB,HML,SMALL LoBM-RF,ME1 BM2-RF,SMALL HiBM-RF,BIG LoBM-RF,ME2 BM2-RF,BIG HiBM-RF,RF
2.96,-2.3,-2.87,1.1524,0.6881,-0.2895,5.4968,1.7442,1.2022,0.22
2.64,-1.4,4.19,0.3595,1.2575,5.1342,2.4654,2.4338,6.0654,0.25
0.36,-1.32,0.01,-2.9079,-0.3659,-0.6674,1.1987,-0.1591,-1.0267,0.23
-3.24,0.04,0.51,-3.8565,-4.6772,-2.3312,-3.9098,-2.666,-4.417,0.32
2.53,-0.2,-0.35,2.811,3.3508,1.7844,2.8192,2.5865,3.1514,0.31
2.62,-0.04,-0.02,2.4564,1.5611,2.9839,2.6878,2.3267,2.115,0.28
-0.06,-0.56,4.83,-1.2501,-0.6282,3.6816,-0.5121,-0.2153,4.2135,0.25
4.18,-0.1,3.17,3.6422,6.1184,6.3592,4.7444,3.2968,8.3705,0.26
0.13,-1.6,-2.67,-1.9,-1.2889,-3.4676,1.0025,-0.0929,-2.7764,0.3
0.46,0.43,0.6,-1.5684,0.6241,3.2296,2.801,-1.0134,-0.7952,0.25
5.44,1.41,4.93,5.2482,3.0467,13.0256,5.1076,4.8017,7.1921,0.3
-2.34,0.47,-1.53,-1.8084,1.044,-4.2074,-1.2228,-3.2756,-1.8926,0.26
7.26,-3.23,-1.16,4.0331,4.9347,3.6846,8.9369,6.4429,6.9603,0.3
1.97,-0.72,-3.69,2.0703,-2.4844,0.58,3.6391,0.9381,-2.2451,0.28
4.76,-3.57,-0.71,2.1881,2.0216,0.189,5.1764,4.1819,5.7574,0.21
-4.31,2.13,-4.33,-0.4133,-2.3958,-6.0857,-3.8849,-4.534,-6.8719,0.25
6.58,2.76,-0.31,10.2246,7.852,10.0175,6.846,6.5576,6.4246,0.21
2.09,0.93,-1.06,5.3305,2.3816,2.2306,2.2754,1.6347,3.2555,0.22
-0.68,4.25,-0.72,2.9531,2.5304,3.3448,-0.7274,-0.6167,-2.5668,0.25
-1.7,-2.03,-0.69,-5.1213,-2.0503,-4.4571,-1.0062,-1.4695,-3.0596,0.33
8.81,-0.26,-1.2,7.103,8.3329,9.167,11.99,5.8427,7.5354,0.29
4.23,3.82,3.67,3.9958,10.4645,9.7523,2.6945,5.78,4.2779,0.22
1.52,2.98,-3.46,7.2126,1.634,2.254,2.2865,-0.4328,0.3188,0.32
-4.85,-3.5,-0.06,-8.8231,-8.6144,-7.1394,-3.9194,-4.4324,-5.7264,0.31
0.62,-1.35,-0.47,-0.7248,-0.7217,-1.2067,1.039,-0.2102,0.5817,0.32
6.68,-2.07,-2.11,5.804,4.7317,3.379,8.4168,5.0667,6.6268,0.32
2.88,2.18,0.76,5.4617,4.1838,5.9062,3.1408,1.6453,4.2196,0.27
1.33,2.27,-2.26,6.4199,2.7144,1.2521,0.949,1.0225,1.5967,0.41
11.81,-1.81,2.8,8.2905,10.8136,11.9031,10.7802,12.8981,12.7697,0.38
0.36,-0.85,-0.6,0.8455,-0.6553,-0.7062,0.8732,-0.0608,1.2317,0.06
4.66,-3.55,-1.21,-0.374,1.5979,1.108,6.1862,4.4973,2.2907,0.34
-0.34,-0.39,1.68,0.3814,0.7414,0.022,-0.9391,0.4706,2.7876,0.36
-0.89,-4.78,1.56,-6.2933,-3.8002,-4.4997,-1.7235,1.8698,-0.4042,0.34
1.43,-0.99,0.61,-0.4422,2.3949,0.1536,1.8572,0.7545,2.4762,0.36
-6.39,-5.46,-1.57,-10.6409,-9.8003,-13.3307,-6.1697,-4.6022,-6.6109,0.44
9.7,-2.17,-2.76,6.4473,8.9156,5.8864,11.9393,8.83,6.9852,0.52
4.46,-3.88,2.66,-0.3981,-1.0329,3.5333,3.2356,5.8718,4.6229,0.33
8.18,-9.52,0.06,-1.2885,-0.8641,-0.8544,6.872,12.143,6.5497,0.4
-5.47,1.17,-0.63,-4.6069,-4.6605,-3.9718,-4.7711,-5.3185,-6.6675,0.35
-20.12,-4.08,7.85,-22.1861,-19.7951,-20.2929,-24.6465,-14.5543,-10.8323,0.46
-12.74,-1.91,5.33,-16.7796,-10.2125,-12.7066,-14.6235,-11.3014,-8.0377,0.37
1.33,-4.2,-0.59,-3.1211,-3.0949,-2.2188,3.0288,0.1815,0.947,0.37
5.61,3.58,-1.01,6.0947,9.2995,8.3231,7.0335,3.1713,2.7821,0.14
2.5,0.12,0.39,1.0502,0.9075,4.0779,3.1639,1.5818,0.9221,0.3
7.1,3.44,0.15,8.6509,10.7161,10.4147,6.466,7.9848,5.0073,0.35
-2.06,-0.17,-0.84,-6.3056,-1.9506,-3.6914,-2.571,-2.0039,-6.8623,0.21
-1.66,-2.04,-0.63,-4.0211,-2.5732,-3.2178,0.4461,-2.5243,-1.625,0.26
-16.27,-3.22,2,-17.203,-16.9197,-19.1987,-18.119,-13.4265,-12.1139,0.27
4.12,-0.37,-1.56,6.3208,3.528,2.3406,4.2017,4.0198,5.0644,0.2
0.3,-2.22,-0.78,-3.8546,-1.7035,-2.5973,1.1069,-0.89,-1.7132,0.09
-12.75,-2.22,-5.27,-13.9023,-14.8921,-19.3819,-12.2525,-11.9594,-17.3058,0.22
-8.78,-0.1,-1.35,-10.1907,-7.7701,-10.8343,-9.5178,-7.4164,-11.5735,0.09
-3.04,2.21,-3.53,0.0934,-2.9138,-2.7323,-2.4916,-2.9639,-6.7302,0.13
-7.83,-4.68,-5.39,-10.5636,-11.1666,-17.4266,-5.9457,-9.3176,-9.8645,0.14
6.24,3.81,7.21,9.7621,11.2102,15.3127,4.567,6.8323,13.4411,0.15
10.88,3.39,1.6,13.1632,11.6177,17.05,12.8306,6.6957,12.1356,0.04
-6.43,3.07,-3.65,-4.474,-3.0504,-7.0901,-4.3271,-10.4877,-9.0126,0.13
-9.98,-4.61,-3.92,-12.9749,-14.1012,-18.3029,-8.9212,-11.187,-11.429,0.08
-13.24,5.16,-6.57,-9.7609,-8.7906,-13.934,-11.4832,-16.0243,-20.453,0.09
13.9,-5.38,11.3,10.0462,7.6495,20.2374,12.7709,16.1156,25.1857,0.08
-6.62,1.43,-2.1,-8.6467,-9.0011,-5.7963,-5.2268,-10.2375,-12.2743,0.06
0.41,-1.97,-1.49,-1.6414,-1.2097,-3.7804,0.8686,-1.6248,0.0231,0.03
-29.13,0.56,-6.75,-26.6022,-30.0821,-33.8586,-28.8971,-28.1793,-35.1431,0.03
8.04,-1.87,1.7,4.1319,9.1071,5.3593,9.4401,3.1588,11.6214,0.1
-9.08,4.3,-5.05,-7.9035,-7.4615,-9.5602,-6.2988,-16.8007,-14.7365,0.17
-13.53,-0.56,-8.86,-13.9187,-16.6288,-22.5392,-11.6867,-18.9421,-20.7886,0.12
-1.58,3.94,9.04,2.2624,3.6964,10.2816,-3.6647,1.6832,6.4053,0.23
5.46,-2.77,-1.45,-2.7054,1.7522,1.1533,6.8842,1.5066,0.1207,0.23
-11.21,2.27,-2.32,-10.6859,-12.2966,-10.7844,-10.3631,-15.3003,-14.906,0.16
-17.96,1.44,1.42,-19.4172,-17.2549,-16.153,-18.2375,-20.2576,-18.6518,0.11
-20.51,3.72,-3.28,-17.1987,-24.9,-17.5341,-19.2784,-26.0131,-25.496,0.06
-0.7,0.35,5.32,0.934,6.2281,1.0164,-1.731,0.0345,8.8276,0.02
33.84,-4.44,35.46,31.8786,36.0825,63.2175,28.1655,48.5909,67.7547,0.03
37.06,14.29,33.03,48.6966,55.3425,83.5454,31.2911,50.9361,62.4977,0.03
-2.94,-2.43,-6.82,-2.8354,-4.6141,-12.5037,-1.0666,-6.5449,-5.0387,0.03
-13.17,-2.76,-10.04,-16.2735,-19.665,-23.8872,-10.7714,-17.5326,-23.2472,0.02
-5.88,2.08,-13.28,-0.3172,-8.2986,-13.2253,-2.7423,-8.9488,-16.4016,0.02
4.4,-8.27,-8.17,-5.1681,-4.2629,-11.0892,6.8403,1.0338,-3.5733,0.01
1.25,0.69,6.23,4.3796,1.3814,8.0622,-0.022,3.0197,8.7585,0.01
-15.24,-2.75,-2.73,-17.8168,-18.3837,-20.8581,-14.9193,-16.5516,-17.3438,-0.03
3.29,3.9,7.38,7.039,6.1177,15.9932,0.9169,9.8208,6.7177,0.04
38.85,4.56,17.43,45.3453,54.7024,56.461,33.639,51.7933,57.3905,0.1
21.43,36.7,19.03,59.8978,62.1565,73.2994,16.9317,26.7381,41.586,0.04
13.11,8.67,-1.88,32.9173,23.2835,18.5682,11.3483,15.4889,21.9296,0.02
-9.63,-1.01,3.27,-14.1585,-12.7912,-7.2618,-8.8783,-13.0773,-9.2408,0.02
12.05,-5.45,2.96,10.5285,10.0802,8.1844,10.5658,15.7484,18.8315,0.03
-10.65,-0.32,-11.77,-7.6321,-13.3552,-20.9242,-9.1654,-12.3803,-19.4066,0.02
-8.36,-0.08,-8.46,-8.5049,-12.43,-13.8462,-6.1714,-10.6022,-17.7548,0.01
9.97,-6.48,2.33,4.4292,4.6418,6.0886,9.67,12.2572,12.6724,0.02
1.83,0.66,-1.53,4.7502,4.0367,0.4365,2.0893,1.8086,3.3336,0.02
12.6,12.53,15.54,21.4703,28.5143,38.2903,9.8169,16.7746,24.0868,0.05
-2.5,5.19,2.12,-0.3135,1.1596,5.3523,-2.4015,-3.1441,-3.83,0.02
0.09,2.51,-2.73,4.7522,2.0474,-0.0927,-0.0229,-0.1562,-0.64,0.02
-1.79,2.8,-3.75,2.8256,-1.327,-1.8403,-1.788,-2.3252,-4.626,0.01
-7.25,-0.26,-5.91,-7.3481,-9.9007,-12.0604,-6.4133,-8.5979,-13.5206,0.01
2.64,-2.14,-2.92,3.7572,0.0711,-2.32,2.618,2.4711,2.8515,0.01
-10.96,-6.94,-10.66,-18.0326,-21.5142,-24.486,-8.321,-11.7151,-23.189,0.01
5.58,5.42,0.5,10.9135,9.4025,12.213,6.0618,4.4364,5.7591,0.01
-0.23,-1.52,-1.24,-0.9355,-0.5906,-3.5772,-0.2697,-0.1587,-0.115,0.01
-1.66,1.24,-5.11,-0.935,-1.648,-4.2037,-0.4215,-2.718,-7.379,0.01
8.33,6.49,-2.24,17.4118,15.4333,12.5184,10.2302,5.0037,10.6473,0.01
0.36,3.08,-3.17,4.9309,1.7454,1.5881,0.7407,0.5233,-2.2472,0.01
-3.45,1.07,-1.89,-5.5623,-3.4088,-3.0425,-3.0199,-2.8938,-9.3228,0.01
-1.94,0.42,-7.24,-3.5425,-4.8789,-5.898,-0.8781,-1.7038,-13.0075,0.02
-3.68,-3.54,-5.06,-5.9334,-7.4792,-11.2768,-2.9815,-3.3389,-7.7599,0.01
9.06,-1.56,4.27,6.7074,9.3384,10.2138,8.0211,9.8771,13.0498,0.01
3.47,-3.34,2.61,-2.6757,2.3217,1.7245,3.127,4.329,3.947,0.01
5.93,-2.51,-1.65,5.8029,5.9162,0.7971,6.3721,5.6036,8.0713,0.01
7.51,1.47,6.86,9.1428,12.9258,12.7437,6.9782,6.3096,17.1048,0.01
2.65,6.28,5.7,4.2127,8.6696,14.4362,2.5594,2.1901,3.7375,0.01
2.63,1.57,-4.05,5.0817,5.5231,0.5475,4.6657,0.6668,1.1098,0.01
7.03,2.65,-2.33,10.8964,10.8404,6.7968,6.5916,7.9669,6.0228,0.01
4.88,4.3,11.91,6.6769,10.4275,18.9543,3.0189,5.5887,14.5539,0.02
4.56,0.22,1.07,5.7613,10.1456,2.2052,2.9735,5.7964,8.6758,0.01
6.89,5.1,10.51,10.3094,7.6627,22.3671,3.2781,9.5199,12.2306,0.01
2.49,1.14,5.04,1.891,6.5501,6.7724,1.9037,2.796,7.0939,0.01
0.99,0.66,-1.66,0.4896,2.318,0.8124,2.6178,0.0432,-1.0288,0.02
-8.14,-6.03,-2.08,-14.4131,-13.9943,-15.484,-7.1763,-8.3705,-10.2694,0.02
5.19,0.81,2.63,4.8811,5.5656,8.6567,5.0378,5.0907,6.5308,0.02
2.4,-3.25,-1.2,-2.238,-0.2888,-1.2798,3.6025,2.1102,0.2376,0.03
6.67,1.14,2.56,10.6221,7.6118,9.4642,5.909,6.1895,12.1912,0.01
0.99,0.72,3.99,0.6264,2.2504,4.595,0.2716,0.7616,4.2869,0.02
0.98,3.07,0.88,2.2161,4.9543,4.4576,0.9127,1.0888,0.4233,0.01
7.12,-2.39,2.52,3.6936,6.4685,6.4907,6.4025,8.7762,8.6399,0.02
3.27,9.01,-0.92,10.8617,9.0579,13.0148,3.3827,3.1373,-0.6044,0.01
0.21,3.61,3.96,2.0356,3.414,7.0026,-1.8345,2.3561,1.1085,0
3.35,4.31,2.61,7.168,7.3332,9.706,3.6351,1.3362,6.3147,0.01
1.09,1.23,5.05,3.2557,1.6655,6.2155,-0.2392,0.7959,6.9016,0.02
-0.27,-1.78,6.39,-3.0169,-0.067,1.8886,-1.7473,-0.2196,6.1175,0.01
-7.36,-3.77,-3.61,-10.119,-11.5977,-13.3805,-6.8535,-6.1392,-10.8078,0.03
-0.83,-0.66,-3.49,-0.3962,-1.0486,-4.1608,0.1832,-0.7786,-3.0398,0.06
-4.21,-3.65,-3.21,-7.2492,-7.7452,-10.3693,-4.1879,-2.7306,-7.4926,0.03
8.91,0.85,0.82,10.8893,8.9613,10.7533,9.1727,7.9346,10.9436,0.03
-4.86,0.42,-2.25,-4.661,-5.0983,-5.5989,-4.23,-4.6054,-7.7924,0.02
-13.61,-6.89,-4.57,-20.8637,-20.8654,-23.092,-12.3896,-12.4449,-19.3057,0.04
-9.61,0.45,-1.62,-10.8015,-10.2788,-9.7997,-10.1949,-7.5954,-14.4357,0.02
-8.31,-3.65,0.2,-11.5468,-12.3152,-11.7313,-8.7593,-7.7137,-8.1825,0.02
-4.24,-7.76,-0.39,-14.1157,-10.5934,-12.2906,-4.1175,-2.8726,-6.7316,0
0.49,4.97,-1.6,4.9809,6.5079,3.7399,1.3091,-0.3348,-0.6467,0
5.84,0.35,-2.02,8.4291,5.6035,4.7735,6.3853,5.3825,5.995,0
-23.82,-4.24,-3.52,-29.9058,-28.9645,-30.1319,-23.5081,-22.4497,-30.3143,-0.01
14.51,6.37,0.18,22.0738,20.7185,20.387,13.7977,14.4271,15.8388,0.01
-3.83,-2.47,-0.28,-7.4715,-7.6475,-5.5424,-3.5564,-3.6497,-6.0495,0
23.87,4.05,0.3,31.2478,30.0194,27.5574,25.7265,20.9273,30.0253,0
7.34,6.66,2.18,13.4474,14.4996,15.3733,6.8018,7.3185,9.2324,-0.01
-2.67,-2.44,-4.72,-4.5933,-5.1113,-9.2856,-0.432,-6.067,-5.1808,0
0.81,-2.72,-1.62,-1.9034,-2.5223,-2.8062,1.34,0.5907,-0.991,0.02
7.8,5.83,5.01,14.1229,14.7473,16.8941,6.9159,7.2032,14.1697,0.01
-1.72,-2.56,-1.23,-5.1369,-2.6063,-5.8625,-1.0568,-2.0845,-2.7992,-0.06
4.19,-1.8,0.5,6.0349,3.7143,1.5522,3.3787,4.4694,8.8637,0
-5.96,-1.56,-3.92,-8.0496,-8.8952,-10.1357,-5.2483,-6.1405,-11.0066,-0.01
3.51,0.63,2.95,3.9173,5.0575,6.2799,3.3394,3.1379,6.8847,0.01
-11.99,-4.76,-8.29,-17.7869,-18.4764,-22.8416,-9.8337,-13.6358,-21.3565,-0.01
-0.18,1.66,-0.3,-0.4922,0.1285,1.9743,-0.1355,-0.0485,-3.1968,0
6.8,2.81,0.47,11.2869,9.0461,9.8555,6.8872,5.5972,9.2668,0.01
-5.31,-1.02,-5.41,-6.8267,-7.9244,-10.6853,-4.4307,-6.5632,-11.3883,0.01
10.24,4.32,-0.03,16.1292,16.6985,13.6444,11.3137,8.4488,13.7364,0
-6.68,-4.61,-2.42,-12.3581,-11.9815,-12.6,-6.299,-5.9093,-10.8933,-0.01
16.88,20.23,22.22,37.6878,39.2898,54.9428,13.5697,16.8953,40.761,0.01
-0.53,-0.01,-4.89,0.4561,-0.5783,-5.0048,0.028,-0.8229,-4.2992,0
-3.62,-5.07,-6.46,-7.8325,-9.3925,-13.814,-2.6176,-3.6667,-9.5542,0
3.03,0.79,-4.06,5.9303,3.0379,0.3533,3.5574,2.3632,1.0169,0
-2.41,0.24,-0.77,-4.1988,-2.1344,-2.7571,-2.1568,-2.4994,-5.1435,0
1.44,2.51,-0.32,4.0588,4.3883,3.1703,1.2492,1.345,1.489,0
2.05,1.25,-1.27,4.6939,2.8608,2.2719,2.3725,1.4575,2.2556,0
0.22,3.92,-0.13,4.7401,3.1906,4.0938,-0.1263,0.1167,0.2697,0
-21.95,-6.66,-3.69,-27.7524,-27.42,-32.4214,-22.0518,-20.7834,-24.7679,-0.02
6.67,-2.13,4.63,4.4242,5.0042,7.9865,4.9455,8.2385,10.6339,0
3.16,1.01,-0.74,4.707,4.7078,3.3127,3.3773,3.0318,3.289,0.01
2.19,-0.11,0.56,2.0624,3.1924,1.8986,2.2028,1.7931,3.4947,-0.01
2.39,3.22,-1.13,5.3698,4.5125,5.2039,3.1522,1.21,1.0582,0
3.02,0.28,4.64,4.2145,5.6715,6.2944,0.8953,6.3562,8.0971,0
-1.61,1.94,0.12,1.1473,0.5385,0.1738,-1.9212,-1.3367,-0.7062,0
0.69,-2.15,-0.89,-0.8918,-1.4655,-2.2785,0.5934,1.017,0.1971,0
-4.17,1,3.83,-4.4329,-2.6398,-0.2966,-5.0265,-3.8389,-1.5098,-0.01
-1.43,-1.57,0.89,-3.4595,-1.7955,-2.8779,-1.5747,-1.4792,-0.379,-0.01
0.84,0.1,3.04,0.5136,1.12,3.7645,0.5344,1.202,3.368,0.01
-5.46,-1.69,3.41,-7.5463,-5.3915,-5.1901,-6.487,-4.5537,-2.025,-0.01
1.39,-0.66,0.6,1.7628,0.667,1.5458,0.9481,2.6345,2.3634,0
5.83,1.32,0.59,4.1184,6.1938,8.46,6.1753,5.6174,3.0109,0
5.87,5.7,7.25,10.4087,10.1275,18.5106,3.6962,8.1538,10.0936,0.03
-0.17,-0.41,-1.1,-1.1691,-2.1335,-0.4054,0.6762,-0.8666,-2.2797,0.01
-0.87,-0.99,-0.28,-3.0505,-1.8477,-1.9589,-0.0205,-2.2037,-1.6752,0.01
-5.25,-2.02,1.63,-5.8203,-6.269,-6.0101,-6.0976,-3.2927,-2.6528,0
-1.92,-1.21,-0.64,-1.0629,-4.1846,-2.921,-2.2704,-0.5645,-1.6913,0
-4.87,-2.98,-5.94,-5.4499,-8.4926,-12.6648,-4.6924,-3.6064,-9.3543,0.01
0.79,7.52,10.1,6.6911,10.6965,14.4666,-1.8116,0.485,10.6222,0.02
-2.46,1.72,-1.13,0.5147,-1.113,-1.7145,-2.3168,-2.8066,-2.3549,0.01
-6.58,1.78,-0.62,-4.7736,-3.6706,-5.7296,-5.84,-7.5557,-6.1145,0.01
-4.37,-0.6,2.09,-6.1955,-3.8273,-3.7507,-4.5976,-4.5055,-2.8627,0.01
5.94,-3.05,-2.65,0.1224,2.0404,1.62,7.4177,4.9079,0.6145,0.03
2.69,-1.22,0.54,0.9892,1.3819,2.3413,3.0327,2.5859,2.7637,0.02
3.51,-0.16,2.4,5.138,3.7418,5.0932,2.6564,4.2854,7.5071,0.03
1.8,-0.09,1.33,2.2129,2.556,2.4643,1.6861,1.7122,4.0908,0.03
2.61,0.66,2.39,2.1568,2.8251,5.9563,2.5862,2.7945,3.5729,0.03
6.82,1.82,6.47,8.261,7.8806,14.4669,5.2809,7.8447,12.0228,0.03
0.15,-1.54,-4.24,-1.1255,-2.5047,-4.1158,1.0682,0.2202,-4.4193,0.03
5.12,-2.49,0.56,2.5724,4.0541,2.5997,4.8547,5.8862,5.9499,0.03
7.13,8.78,8.23,11.6614,13.8914,23.7788,5.3174,7.9935,9.6678,0.03
6.15,4.84,6.51,10.8194,9.1645,17.452,4.7817,6.9744,11.1642,0.03
6.01,5.03,5.48,10.9034,11.5043,14.9321,4.1028,7.108,11.0404,0.03
0.81,2.06,5.86,-0.9784,2.5806,8.1316,-0.134,1.2183,2.4781,0.03
5.74,4.41,3.28,8.8091,8.9376,13.2625,4.9898,5.6931,7.097,0.03
1.82,-1.06,-0.74,-0.3095,0.7917,0.3797,2.1359,1.9385,-0.0312,0.03
-4.77,-2.41,-2.27,-5.2029,-6.8158,-9.116,-4.792,-3.7014,-5.4186,0.03
1.3,-0.62,-0.47,0.3327,0.0433,0.6939,1.4711,1.2817,0.1762,0.03
2.4,1.28,1.43,2.8973,2.9998,5.385,2.1746,2.6972,2.5554,0.03
-1.15,0.58,1.65,-0.7149,-0.3655,0.7397,-1.4772,-0.9774,0.3618,0.03
-5.91,-1.64,-4.04,-7.0789,-7.9878,-10.6093,-4.7911,-6.6138,-9.3414,0.03
6.36,3.34,3.22,7.1726,10.5809,12.0272,5.6448,6.8957,7.229,0.03
1.74,2.56,2.17,4.9883,4.6481,5.2601,0.788,1.5884,4.8502,0.03
0.37,-0.1,0.83,1.3311,0.9248,0.6269,0.0207,0.7554,2.3948,0.03
2.46,1.71,3.43,1.9635,3.6872,7.6097,2.1876,2.5417,3.3933,0.02
-1.69,-1.35,-1.13,-1.9926,-2.8971,-4.0921,-1.4272,-1.9071,-1.5929,0.03
5.07,1.67,1.02,5.7869,7.2371,6.9746,4.5761,4.9892,5.435,0.03
